index,max-steps,max-reward,exploration-rate,obedience
102,800.0,-321.0,0.9077368699525629,0.26375
103,800.0,-317.0,0.9073331024678696,0.2625
104,800.0,-310.0,0.906929536816456,0.2925
105,800.0,-361.0,0.906526172897431,0.28625
106,800.0,-282.0,0.9061230106099534,0.29875
107,800.0,-312.0,0.9057200498532326,0.29375
108,800.0,-345.0,0.9053172905265285,0.2775
109,800.0,-270.0,0.9049147325291512,0.29125
110,800.0,-369.0,0.9045123757604612,0.265
111,800.0,-366.0,0.9041102201198694,0.26625
112,800.0,-313.0,0.9037082655068368,0.25375
113,800.0,-320.0,0.9033065118208747,0.275
114,800.0,-375.0,0.9029049589615448,0.27875
115,800.0,-333.0,0.9025036068284588,0.26
116,800.0,-325.0,0.9021024553212788,0.29375
117,800.0,-309.0,0.9017015043397165,0.28
118,800.0,-301.0,0.9013007537835347,0.28875
119,800.0,-322.0,0.9009002035525455,0.28625
120,800.0,-328.0,0.9004998535466113,0.30875
121,800.0,-296.0,0.9000997036656447,0.2725
122,800.0,-277.0,0.8996997538096082,0.28
123,800.0,-266.0,0.8993000038785143,0.28625
124,800.0,-329.0,0.8989004537724256,0.28625
125,800.0,-372.0,0.8985011033914544,0.28625
126,800.0,-319.0,0.8981019526357632,0.27375
127,800.0,-322.0,0.8977030014055644,0.245
128,800.0,-268.0,0.89730424960112,0.265
129,800.0,-349.0,0.8969056971227423,0.29375
130,800.0,-328.0,0.8965073438707929,0.29125
131,800.0,-329.0,0.8961091897456837,0.27625
132,800.0,-281.0,0.8957112346478759,0.28625
133,800.0,-338.0,0.8953134784778811,0.27375
134,800.0,-303.0,0.8949159211362601,0.2925
135,800.0,-348.0,0.8945185625236233,0.28625
136,800.0,-383.0,0.8941214025406314,0.24375
137,800.0,-302.0,0.8937244410879943,0.28625
138,800.0,-297.0,0.8933276780664716,0.28625
139,800.0,-322.0,0.8929311133768726,0.2675
140,800.0,-317.0,0.892534746920056,0.2725
141,800.0,-307.0,0.8921385785969302,0.2825
142,800.0,-303.0,0.8917426083084533,0.27375
143,800.0,-307.0,0.8913468359556325,0.28125
144,800.0,-302.0,0.8909512614395249,0.25
145,800.0,-297.0,0.8905558846612367,0.245
146,800.0,-293.0,0.8901607055219238,0.2725
147,800.0,-298.0,0.8897657239227913,0.2775
148,800.0,-326.0,0.8893709397650941,0.29875
149,800.0,-269.0,0.8889763529501359,0.26875
150,800.0,-341.0,0.8885819633792699,0.30125
151,800.0,-288.0,0.888187770953899,0.255
152,800.0,-269.0,0.8877937755754749,0.275
153,800.0,-266.0,0.8873999771454988,0.2625
154,800.0,-256.0,0.887006375565521,0.25875
155,800.0,-272.0,0.8866129707371413,0.2725
156,800.0,-303.0,0.8862197625620083,0.2525
157,800.0,-295.0,0.8858267509418201,0.29
158,800.0,-329.0,0.8854339357783237,0.255
159,800.0,-331.0,0.8850413169733155,0.26125
160,800.0,-331.0,0.8846488944286404,0.27125
161,800.0,-320.0,0.8842566680461931,0.28625
162,800.0,-344.0,0.8838646377279168,0.27875
163,800.0,-357.0,0.8834728033758041,0.2575
164,800.0,-303.0,0.8830811648918964,0.275
